name,description,quantity,price,image_url
Clay Plant Pot,<p>Classic blown clay pot for plants</p>,20,666,https://burst.shopifycdn.com/photos/single-sprout-in-a-pot_925x.jpg
,,33,688,
Copper Light,<p>Stylish copper bedside light</p>,34,878,https://burst.shopifycdn.com/photos/copper-light-in-bedroom_925x.jpg
Cream Sofa,<p>Comfortable cream sofa with wooden base</p>,3465,786,https://burst.shopifycdn.com/photos/condominium-interior-livingroom_925x.jpg
Antique Drawers,<p>Antique wooden chest of drawers</p>,34,9999,https://burst.shopifycdn.com/photos/babys-room_925x.jpg
White Bed Clothes,<p>Sleek white bed clothes</p>,66,656,https://burst.shopifycdn.com/photos/bright-hotel-room-bed_925x.jpg
Pink Armchair,<p>Stylish pink armchair</p>,77,2000,https://burst.shopifycdn.com/photos/soft-pink-cushioned-armchair-in-stately-salon_925x.jpg
Wooden Outdoor Table,<p>Chic wooden outdoor garden table</p>,45,758,https://burst.shopifycdn.com/photos/cafe-patio_925x.jpg
Brown Throw Pillows,<p>Stylish brown throw pillows</p>,22,7556,https://burst.shopifycdn.com/photos/bedroom-bed-with-brown-throw-pillows_925x.jpg
White Ceramic Pot,<p>Homemade white ceramic flower pot</p>,54,467,https://burst.shopifycdn.com/photos/house-plant-in-white-pot_925x.jpg
Yellow watering can,<p>Vintage vibrant watering can</p>,65,7777,https://burst.shopifycdn.com/photos/flowers-in-yellow-watering-can_925x.jpg
Gardening hand trowel,<p>Metal gardening hand trowel with wooden handle</p>,865,56665,https://burst.shopifycdn.com/photos/spring-gardening-set-up_925x.jpg
Biodegradable cardboard pots,<p>Biodegradable outdoor cardboard pots</p>,999,657,https://burst.shopifycdn.com/photos/potted-seeds_925x.jpg
Grey Sofa,<p>Large four seater grey sofa</p>,26,45454,https://burst.shopifycdn.com/photos/large-grey-sofa-by-brick-wall_925x.jpg
Wooden outdoor slats,<p>Wooden outdoor fencing slats</p>,24,5554,https://burst.shopifycdn.com/photos/house-plant-on-wooden-slat-wall_925x.jpg
Wooden Fence,<p>Wooden garden fence</p>,45,6565,https://burst.shopifycdn.com/photos/picket-fence-flowers_925x.jpg
Yellow Sofa,<p>Two seater yellow sofa with wooden legs</p>,23,577,https://burst.shopifycdn.com/photos/yellow-couch-by-black-and-white-mural_925x.jpg
Knitted Throw Pillows,<p>Homemade knitted throw pillows in a variety of colors</p>,57,657,https://burst.shopifycdn.com/photos/yellow-sofa-with-throw-pillows_925x.jpg
Vanilla candle,<p>Vanilla scent candle in jar</p>,76,7676,https://burst.shopifycdn.com/photos/diy-organic-candle_925x.jpg
Black Beanbag,<p>Black leather beanbag</p>,64,4574,https://burst.shopifycdn.com/photos/comfortable-living-room-cat_925x.jpg
Bedside Table,<p>Wooden bedside table</p>,46,47645,https://burst.shopifycdn.com/photos/dark-wall-bedside-table_925x.jpg
,,,764,
,,,865,
